symbol,project_name,chain,ca,total_supply,dextools_pair_url,init_tx_hash,listing_price_usd,listing_fdv_usd,notes
EVAA,EVAA Protocol,BSC,0xaa036928c9c0df07d525b55ea8ee690bb5a628c1,50000000,https://www.dextools.io/app/bnb/pair-explorer/0x26deb24a2623cf54452ab5183e2c34551831d54d,0xf83b4c43fa06bd4d8116149a9a02b111589cee6540a242860dc37e85652521dc,2,100000000,example provided
P,Pop Planet,,,,,,,,
LYN,Everlyn AI,,,,,,,,
KGEN,KGen (Kratos Gamer Network),,,,,,,,
PIPE,Pipe Network,,,,,,,,
WAL,Walrus,,,,,,,,
ENSO,Enso Network,,,,,,,,
CLO,Yei Finance / Clovis,,,,,,,,
LAB,LAB (Trading Infra),,,,,,,,
RECALL,Recall Network,,,,,,,,
WBAI,Whitebridge Network,,,,,,,,
ANOME,Anome,,,,,,,,
SUBHUB,SubHub,,,,,,,,
COMMON,Common,,,,,,,,
BEAT,BEAT,,,,,,,,
MMT,Momentum Finance,,,,,,,,
TRUST,Trust,,,,,,,,
ALLO,Allora Network,,,,,,,,
GAIB,GAIB,,,,,,,,
SENT,Sentient (SentientAGI),,,,,,,,
DIGI,MineD,,,,,,,,
MON,Monad,,,,,,,,
CHEESY,Cheesy Penguin,,,,,,,,
BNBH,BNBHolder,,,,,,,,
IRYS,Irys,,,,,,,,
GUA,Superfortune,,,,,,,,
SAPIEN,Sapien,,,,,,,,
RLS,RAYLS,,,,,,,,
POWER,Power Protocol,,,,,,,,
STABLE,Stable / StableChain,,,,,,,,
NIGHT,Midnight Network,,,,,,,,
RAVE,RaveDAO,,,,,,,,
THQ,Theoriq,,,,,,,,
ZKP,ZKP,,,,,,,,
IR,IR Protocol,,,,,,,,
KGST,KGST,,,,,,,,
BIO,BIO Protocol,,,,,,,,
META,MetaArena,,,,,,,,
TIDE,TradeTide,,,,,,,,
Q,Quack AI,,,,,,,,
OOOO,OOOO,,,,,,,,
COLLECT,Collect,,,,,,,,
MAGMA,Magma Finance,,,,,,,,
AIAV,AI Avatar,,,,,,,,
BREV,Brevis,,,,,,,,
ZTC,Zenchain,,,,,,,,
DN,DeepNode,,,,,,,,
我骑马来了,我骑马来了 (Wo Qi Ma Lai Le),,,,,,,,
FOGO,Fogo,,,,,,,,
SENT,Sentient (SENT) — Spot listing,,,,,,,,
SPACE,Space,,,,,,,,
FIGHT,Fight Network,,,,,,,,
INX,Infinex,,,,,,,,
ZAMA,Zama Protocol,,,,,,,,
BSB,BlockStreet,,,,,,,,
SN3,Nebula3,,,,,,,,
BASED,Based,,,,,,,,
R2,R2 Protocol,,,,,,,,
CHECK,Checkmate,,,,,,,,
BREV-2,Brevis HODLer Airdrop (Spot),,,,,,,,
GENIUS,Genius Foundation,,,,,,,,
AIGENSYN,Gensyn,,,,,,,,
CHIP,USD.ai,,,,,,,,
MEGA,MegaETH,,,,,,,,
BILL,Billions Network,,,,,,,,
GTC,GTech Network,,,,,,,,
ZEST,Zest Protocol,,,,,,,,
NEX,Nexus,,,,,,,,
